"Petal.Length";"Petal.Width";"Species"
1,4;0,2;"setosa"
1,7;0,4;"setosa"
1,5;0,2;"setosa"
1,5;0,4;"setosa"
1,7;0,2;"setosa"
1,6;0,2;"setosa"
1,6;0,2;"setosa"
1,2;0,2;"setosa"
1,3;0,3;"setosa"
1,4;0,3;"setosa"
4,7;1,4;"versicolor"
4,5;1,3;"versicolor"
3,5;1;"versicolor"
4,4;1,4;"versicolor"
4,8;1,8;"versicolor"
4,4;1,4;"versicolor"
3,8;1,1;"versicolor"
4,5;1,6;"versicolor"
4,4;1,2;"versicolor"
4,2;1,2;"versicolor"
6;2,5;"virginica"
6,6;2,1;"virginica"
5,1;2;"virginica"
5,3;2,3;"virginica"
5,7;2,3;"virginica"
6;1,8;"virginica"
6,1;1,9;"virginica"
6,1;2,3;"virginica"
5,6;2,4;"virginica"
5,2;2,3;"virginica"
